produto;marca;loja;data;quantidade;valor
lavadora;LG;Analia Franco;9/7/2023;2;3800
lavadora;Brastemp;Analia Franco;9/7/2023;7;2306
lavadora;LG;Eldorado;9/7/2023;10;3800
lavadora;Brastemp;Eldorado;9/7/2023;16;2306
console;Sony;Ibirapuera;9/7/2023;7;3500
console;Nintendo;Ibirapuera;9/7/2023;30;2000
console;Sony;Analia Franco;9/7/2023;29;3500
console;Nintendo;Analia Franco;9/7/2023;19;2000
console;Sony;Eldorado;9/7/2023;21;3500
console;Nintendo;Eldorado;9/7/2023;1;2000
smartphone;Samsung;Ibirapuera;22/8/2023;11;1879.99
smartphone;Xiaomi;Ibirapuera;22/8/2023;30;1650.48
smartphone;Samsung;Analia Franco;22/8/2023;30;1879.99
smartphone;Xiaomi;Analia Franco;22/8/2023;27;1650.48
smartphone;Samsung;Eldorado;22/8/2023;2;1879.99
smartphone;Xiaomi;Eldorado;22/8/2023;28;1650.48
smart TV;LG;Ibirapuera;22/8/2023;3;2500.0
smart TV;Samsung;Ibirapuera;22/8/2023;22;2879.99
smart TV;LG;Analia Franco;22/8/2023;25;2500.0
smart TV;Samsung;Analia Franco;22/8/2023;29;2879.99
smart TV;LG;Eldorado;22/8/2023;28;2500.0
smart TV;Samsung;Eldorado;22/8/2023;11;2879.99
notebook;Acer;Ibirapuera;22/8/2023;20;3440.78
notebook;Asus;Ibirapuera;22/8/2023;14;3250.87
notebook;Acer;Analia Franco;22/8/2023;12;3440.78
notebook;Asus;Analia Franco;22/8/2023;19;3250.87
notebook;Acer;Eldorado;22/8/2023;17;3440.78
notebook;Asus;Eldorado;22/8/2023;5;3250.87
geladeira;Brastemp;Ibirapuera;22/8/2023;25;4500
geladeira;Electrolux;Ibirapuera;22/8/2023;21;5000
geladeira;Brastemp;Analia Franco;22/8/2023;14;4500
geladeira;Electrolux;Analia Franco;22/8/2023;9;5000
geladeira;Brastemp;Eldorado;22/8/2023;2;4500
geladeira;Electrolux;Eldorado;22/8/2023;26;5000
lavadora;LG;Ibirapuera;22/8/2023;26;3800
lavadora;Brastemp;Ibirapuera;22/8/2023;27;2306
lavadora;LG;Analia Franco;22/8/2023;11;3800
lavadora;Brastemp;Analia Franco;22/8/2023;1;2306
lavadora;LG;Eldorado;22/8/2023;9;3800
lavadora;Brastemp;Eldorado;22/8/2023;14;2306
console;Sony;Ibirapuera;22/8/2023;1;3500
console;Nintendo;Ibirapuera;22/8/2023;12;2000
console;Sony;Analia Franco;22/8/2023;12;3500
console;Nintendo;Analia Franco;22/8/2023;13;2000
console;Sony;Eldorado;22/8/2023;29;3500
console;Nintendo;Eldorado;22/8/2023;8;2000
smartphone;Samsung;Ibirapuera;29/1/2023;19;1879.99
smartphone;Xiaomi;Ibirapuera;29/1/2023;11;1650.48
smartphone;Samsung;Analia Franco;29/1/2023;10;1879.99
smartphone;Xiaomi;Analia Franco;29/1/2023;28;1650.48
smartphone;Samsung;Eldorado;29/1/2023;23;1879.99
smartphone;Xiaomi;Eldorado;29/1/2023;7;1650.48
smart TV;LG;Ibirapuera;29/1/2023;24;2500.0
smart TV;Samsung;Ibirapuera;29/1/2023;3;2879.99
smart TV;LG;Analia Franco;29/1/2023;4;2500.0
smart TV;Samsung;Analia Franco;29/1/2023;17;2879.99
smart TV;LG;Eldorado;29/1/2023;9;2500.0
smart TV;Samsung;Eldorado;29/1/2023;13;2879.99
notebook;Acer;Ibirapuera;29/1/2023;1;3440.78
notebook;Asus;Ibirapuera;29/1/2023;17;3250.87
notebook;Acer;Analia Franco;29/1/2023;9;3440.78
notebook;Asus;Analia Franco;29/1/2023;19;3250.87
notebook;Acer;Eldorado;29/1/2023;7;3440.78
notebook;Asus;Eldorado;29/1/2023;28;3250.87
geladeira;Brastemp;Ibirapuera;29/1/2023;23;4500
geladeira;Electrolux;Ibirapuera;29/1/2023;15;5000
geladeira;Brastemp;Analia Franco;29/1/2023;11;4500
geladeira;Electrolux;Analia Franco;29/1/2023;16;5000
geladeira;Brastemp;Eldorado;29/1/2023;10;4500
geladeira;Electrolux;Eldorado;29/1/2023;25;5000
lavadora;LG;Ibirapuera;29/1/2023;1;3800
lavadora;Brastemp;Ibirapuera;29/1/2023;28;2306
lavadora;LG;Analia Franco;29/1/2023;1;3800
lavadora;Brastemp;Analia Franco;29/1/2023;24;2306
lavadora;LG;Eldorado;29/1/2023;17;3800
lavadora;Brastemp;Eldorado;29/1/2023;12;2306
console;Sony;Ibirapuera;29/1/2023;7;3500
console;Nintendo;Ibirapuera;29/1/2023;1;2000
console;Sony;Analia Franco;29/1/2023;6;3500
console;Nintendo;Analia Franco;29/1/2023;3;2000
console;Sony;Eldorado;29/1/2023;24;3500
console;Nintendo;Eldorado;29/1/2023;22;2000
smartphone;Samsung;Ibirapuera;26/6/2023;10;1879.99
smartphone;Xiaomi;Ibirapuera;26/6/2023;19;1650.48
smartphone;Samsung;Analia Franco;26/6/2023;5;1879.99
smartphone;Xiaomi;Analia Franco;26/6/2023;3;1650.48
smartphone;Samsung;Eldorado;26/6/2023;6;1879.99
smartphone;Xiaomi;Eldorado;26/6/2023;8;1650.48
smart TV;LG;Ibirapuera;26/6/2023;1;2500.0
smart TV;Samsung;Ibirapuera;26/6/2023;4;2879.99
smart TV;LG;Analia Franco;26/6/2023;29;2500.0
smart TV;Samsung;Analia Franco;26/6/2023;13;2879.99
smart TV;LG;Eldorado;26/6/2023;20;2500.0
smart TV;Samsung;Eldorado;26/6/2023;1;2879.99
notebook;Acer;Ibirapuera;26/6/2023;15;3440.78
notebook;Asus;Ibirapuera;26/6/2023;6;3250.87
notebook;Acer;Analia Franco;26/6/2023;28;3440.78
notebook;Asus;Analia Franco;26/6/2023;26;3250.87
notebook;Acer;Eldorado;26/6/2023;12;3440.78
notebook;Asus;Eldorado;26/6/2023;23;3250.87
geladeira;Brastemp;Ibirapuera;26/6/2023;18;4500
geladeira;Electrolux;Ibirapuera;26/6/2023;2;5000
geladeira;Brastemp;Analia Franco;26/6/2023;26;4500
geladeira;Electrolux;Analia Franco;26/6/2023;28;5000
geladeira;Brastemp;Eldorado;26/6/2023;18;4500
geladeira;Electrolux;Eldorado;26/6/2023;19;5000
lavadora;LG;Ibirapuera;26/6/2023;17;3800
lavadora;Brastemp;Ibirapuera;26/6/2023;22;2306
lavadora;LG;Analia Franco;26/6/2023;26;3800
lavadora;Brastemp;Analia Franco;26/6/2023;24;2306
lavadora;LG;Eldorado;26/6/2023;25;3800
lavadora;Brastemp;Eldorado;26/6/2023;11;2306
console;Sony;Ibirapuera;26/6/2023;7;3500
console;Nintendo;Ibirapuera;26/6/2023;28;2000
console;Sony;Analia Franco;26/6/2023;20;3500
console;Nintendo;Analia Franco;26/6/2023;7;2000
console;Sony;Eldorado;26/6/2023;4;3500
console;Nintendo;Eldorado;26/6/2023;26;2000
smartphone;Samsung;Ibirapuera;5/10/2023;29;1879.99
smartphone;Xiaomi;Ibirapuera;5/10/2023;7;1650.48
smartphone;Samsung;Analia Franco;5/10/2023;10;1879.99
smartphone;Xiaomi;Analia Franco;5/10/2023;5;1650.48
smartphone;Samsung;Eldorado;5/10/2023;5;1879.99
smartphone;Xiaomi;Eldorado;5/10/2023;16;1650.48
smart TV;LG;Ibirapuera;5/10/2023;8;2500.0
smart TV;Samsung;Ibirapuera;5/10/2023;20;2879.99
smart TV;LG;Analia Franco;5/10/2023;14;2500.0
smart TV;Samsung;Analia Franco;5/10/2023;3;2879.99
smart TV;LG;Eldorado;5/10/2023;22;2500.0
smart TV;Samsung;Eldorado;5/10/2023;8;2879.99
notebook;Acer;Ibirapuera;5/10/2023;3;3440.78
notebook;Asus;Ibirapuera;5/10/2023;15;3250.87
notebook;Acer;Analia Franco;5/10/2023;19;3440.78
notebook;Asus;Analia Franco;5/10/2023;24;3250.87
notebook;Acer;Eldorado;5/10/2023;17;3440.78
notebook;Asus;Eldorado;5/10/2023;4;3250.87
geladeira;Brastemp;Ibirapuera;5/10/2023;1;4500
geladeira;Electrolux;Ibirapuera;5/10/2023;20;5000
geladeira;Brastemp;Analia Franco;5/10/2023;20;4500
geladeira;Electrolux;Analia Franco;5/10/2023;14;5000
geladeira;Brastemp;Eldorado;5/10/2023;30;4500
geladeira;Electrolux;Eldorado;5/10/2023;1;5000
lavadora;LG;Ibirapuera;5/10/2023;28;3800
lavadora;Brastemp;Ibirapuera;5/10/2023;15;2306
lavadora;LG;Analia Franco;5/10/2023;26;3800
lavadora;Brastemp;Analia Franco;5/10/2023;16;2306
lavadora;LG;Eldorado;5/10/2023;30;3800
lavadora;Brastemp;Eldorado;5/10/2023;15;2306
console;Sony;Ibirapuera;5/10/2023;25;3500
console;Nintendo;Ibirapuera;5/10/2023;22;2000
console;Sony;Analia Franco;5/10/2023;16;3500
console;Nintendo;Analia Franco;5/10/2023;17;2000
console;Sony;Eldorado;5/10/2023;24;3500
console;Nintendo;Eldorado;5/10/2023;23;2000
smartphone;Samsung;Ibirapuera;6/9/2023;16;1879.99
smartphone;Xiaomi;Ibirapuera;6/9/2023;13;1650.48
smartphone;Samsung;Analia Franco;6/9/2023;22;1879.99
smartphone;Xiaomi;Analia Franco;6/9/2023;27;1650.48
smartphone;Samsung;Eldorado;6/9/2023;22;1879.99
smartphone;Xiaomi;Eldorado;6/9/2023;22;1650.48
smart TV;LG;Ibirapuera;6/9/2023;19;2500.0
smart TV;Samsung;Ibirapuera;6/9/2023;3;2879.99
smart TV;LG;Analia Franco;6/9/2023;17;2500.0
smart TV;Samsung;Analia Franco;6/9/2023;15;2879.99
smart TV;LG;Eldorado;6/9/2023;21;2500.0
smart TV;Samsung;Eldorado;6/9/2023;18;2879.99
notebook;Acer;Ibirapuera;6/9/2023;25;3440.78
notebook;Asus;Ibirapuera;6/9/2023;17;3250.87
notebook;Acer;Analia Franco;6/9/2023;2;3440.78
notebook;Asus;Analia Franco;6/9/2023;12;3250.87
notebook;Acer;Eldorado;6/9/2023;29;3440.78
notebook;Asus;Eldorado;6/9/2023;27;3250.87
geladeira;Brastemp;Ibirapuera;6/9/2023;5;4500
geladeira;Electrolux;Ibirapuera;6/9/2023;4;5000
geladeira;Brastemp;Analia Franco;6/9/2023;25;4500
geladeira;Electrolux;Analia Franco;6/9/2023;10;5000
geladeira;Brastemp;Eldorado;6/9/2023;5;4500
geladeira;Electrolux;Eldorado;6/9/2023;8;5000
lavadora;LG;Ibirapuera;6/9/2023;7;3800
lavadora;Brastemp;Ibirapuera;6/9/2023;13;2306
lavadora;LG;Analia Franco;6/9/2023;3;3800
lavadora;Brastemp;Analia Franco;6/9/2023;24;2306
lavadora;LG;Eldorado;6/9/2023;6;3800
lavadora;Brastemp;Eldorado;6/9/2023;25;2306
console;Sony;Ibirapuera;6/9/2023;1;3500
console;Nintendo;Ibirapuera;6/9/2023;21;2000
console;Sony;Analia Franco;6/9/2023;27;3500
console;Nintendo;Analia Franco;6/9/2023;20;2000
console;Sony;Eldorado;6/9/2023;2;3500
console;Nintendo;Eldorado;6/9/2023;13;2000
smartphone;Samsung;Ibirapuera;3/4/2023;24;1879.99
smartphone;Xiaomi;Ibirapuera;3/4/2023;18;1650.48
smartphone;Samsung;Analia Franco;3/4/2023;14;1879.99
smartphone;Xiaomi;Analia Franco;3/4/2023;18;1650.48
smartphone;Samsung;Eldorado;3/4/2023;17;1879.99
smartphone;Xiaomi;Eldorado;3/4/2023;26;1650.48
smart TV;LG;Ibirapuera;3/4/2023;26;2500.0
smart TV;Samsung;Ibirapuera;3/4/2023;9;2879.99
smart TV;LG;Analia Franco;3/4/2023;5;2500.0
smart TV;Samsung;Analia Franco;3/4/2023;11;2879.99
smart TV;LG;Eldorado;3/4/2023;3;2500.0
smart TV;Samsung;Eldorado;3/4/2023;18;2879.99
notebook;Acer;Ibirapuera;3/4/2023;4;3440.78
notebook;Asus;Ibirapuera;3/4/2023;6;3250.87
notebook;Acer;Analia Franco;3/4/2023;25;3440.78
notebook;Asus;Analia Franco;3/4/2023;11;3250.87
notebook;Acer;Eldorado;3/4/2023;26;3440.78
notebook;Asus;Eldorado;3/4/2023;17;3250.87
geladeira;Brastemp;Ibirapuera;3/4/2023;28;4500
geladeira;Electrolux;Ibirapuera;3/4/2023;19;5000
geladeira;Brastemp;Analia Franco;3/4/2023;15;4500
geladeira;Electrolux;Analia Franco;3/4/2023;28;5000
geladeira;Brastemp;Eldorado;3/4/2023;4;4500
geladeira;Electrolux;Eldorado;3/4/2023;12;5000
lavadora;LG;Ibirapuera;3/4/2023;28;3800
lavadora;Brastemp;Ibirapuera;3/4/2023;4;2306
lavadora;LG;Analia Franco;3/4/2023;12;3800
lavadora;Brastemp;Analia Franco;3/4/2023;10;2306
lavadora;LG;Eldorado;3/4/2023;6;3800
lavadora;Brastemp;Eldorado;3/4/2023;14;2306
console;Sony;Ibirapuera;3/4/2023;9;3500
console;Nintendo;Ibirapuera;3/4/2023;9;2000
console;Sony;Analia Franco;3/4/2023;18;3500
console;Nintendo;Analia Franco;3/4/2023;29;2000
console;Sony;Eldorado;3/4/2023;12;3500
console;Nintendo;Eldorado;3/4/2023;12;2000
smartphone;Samsung;Ibirapuera;23/10/2023;2;1879.99
smartphone;Xiaomi;Ibirapuera;23/10/2023;17;1650.48
smartphone;Samsung;Analia Franco;23/10/2023;15;1879.99
smartphone;Xiaomi;Analia Franco;23/10/2023;29;1650.48
smartphone;Samsung;Eldorado;23/10/2023;30;1879.99
smartphone;Xiaomi;Eldorado;23/10/2023;27;1650.48
smart TV;LG;Ibirapuera;23/10/2023;13;2500.0
smart TV;Samsung;Ibirapuera;23/10/2023;18;2879.99
smart TV;LG;Analia Franco;23/10/2023;17;2500.0
smart TV;Samsung;Analia Franco;23/10/2023;24;2879.99
smart TV;LG;Eldorado;23/10/2023;14;2500.0
smart TV;Samsung;Eldorado;23/10/2023;5;2879.99
notebook;Acer;Ibirapuera;23/10/2023;30;3440.78
notebook;Asus;Ibirapuera;23/10/2023;29;3250.87
notebook;Acer;Analia Franco;23/10/2023;7;3440.78
notebook;Asus;Analia Franco;23/10/2023;10;3250.87
notebook;Acer;Eldorado;23/10/2023;2;3440.78
notebook;Asus;Eldorado;23/10/2023;7;3250.87
geladeira;Brastemp;Ibirapuera;23/10/2023;26;4500
geladeira;Electrolux;Ibirapuera;23/10/2023;17;5000
geladeira;Brastemp;Analia Franco;23/10/2023;29;4500
geladeira;Electrolux;Analia Franco;23/10/2023;19;5000
geladeira;Brastemp;Eldorado;23/10/2023;4;4500
geladeira;Electrolux;Eldorado;23/10/2023;18;5000
lavadora;LG;Ibirapuera;23/10/2023;25;3800
lavadora;Brastemp;Ibirapuera;23/10/2023;22;2306
lavadora;LG;Analia Franco;23/10/2023;9;3800
lavadora;Brastemp;Analia Franco;23/10/2023;25;2306
lavadora;LG;Eldorado;23/10/2023;26;3800
lavadora;Brastemp;Eldorado;23/10/2023;9;2306
console;Sony;Ibirapuera;23/10/2023;29;3500
console;Nintendo;Ibirapuera;23/10/2023;30;2000
console;Sony;Analia Franco;23/10/2023;17;3500
console;Nintendo;Analia Franco;23/10/2023;14;2000
console;Sony;Eldorado;23/10/2023;22;3500
console;Nintendo;Eldorado;23/10/2023;20;2000
smartphone;Samsung;Ibirapuera;27/6/2023;20;1879.99
smartphone;Xiaomi;Ibirapuera;27/6/2023;17;1650.48
smartphone;Samsung;Analia Franco;27/6/2023;29;1879.99
smartphone;Xiaomi;Analia Franco;27/6/2023;15;1650.48
smartphone;Samsung;Eldorado;27/6/2023;30;1879.99
smartphone;Xiaomi;Eldorado;27/6/2023;11;1650.48
smart TV;LG;Ibirapuera;27/6/2023;25;2500.0
smart TV;Samsung;Ibirapuera;27/6/2023;13;2879.99
smart TV;LG;Analia Franco;27/6/2023;17;2500.0
smart TV;Samsung;Analia Franco;27/6/2023;29;2879.99
smart TV;LG;Eldorado;27/6/2023;24;2500.0
smart TV;Samsung;Eldorado;27/6/2023;30;2879.99
notebook;Acer;Ibirapuera;27/6/2023;22;3440.78
notebook;Asus;Ibirapuera;27/6/2023;2;3250.87
notebook;Acer;Analia Franco;27/6/2023;26;3440.78
notebook;Asus;Analia Franco;27/6/2023;22;3250.87
notebook;Acer;Eldorado;27/6/2023;16;3440.78
notebook;Asus;Eldorado;27/6/2023;17;3250.87
geladeira;Brastemp;Ibirapuera;27/6/2023;19;4500
geladeira;Electrolux;Ibirapuera;27/6/2023;4;5000
geladeira;Brastemp;Analia Franco;27/6/2023;9;4500
geladeira;Electrolux;Analia Franco;27/6/2023;6;5000
geladeira;Brastemp;Eldorado;27/6/2023;15;4500
geladeira;Electrolux;Eldorado;27/6/2023;3;5000
lavadora;LG;Ibirapuera;27/6/2023;16;3800
lavadora;Brastemp;Ibirapuera;27/6/2023;15;2306
lavadora;LG;Analia Franco;27/6/2023;26;3800
lavadora;Brastemp;Analia Franco;27/6/2023;19;2306
lavadora;LG;Eldorado;27/6/2023;3;3800
lavadora;Brastemp;Eldorado;27/6/2023;22;2306
console;Sony;Ibirapuera;27/6/2023;21;3500
console;Nintendo;Ibirapuera;27/6/2023;23;2000
console;Sony;Analia Franco;27/6/2023;3;3500
console;Nintendo;Analia Franco;27/6/2023;18;2000
console;Sony;Eldorado;27/6/2023;19;3500
console;Nintendo;Eldorado;27/6/2023;11;2000
smartphone;Samsung;Ibirapuera;5/6/2023;11;1879.99
smartphone;Xiaomi;Ibirapuera;5/6/2023;25;1650.48
smartphone;Samsung;Analia Franco;5/6/2023;12;1879.99
smartphone;Xiaomi;Analia Franco;5/6/2023;1;1650.48
smartphone;Samsung;Eldorado;5/6/2023;6;1879.99
smartphone;Xiaomi;Eldorado;5/6/2023;28;1650.48
smart TV;LG;Ibirapuera;5/6/2023;12;2500.0
smart TV;Samsung;Ibirapuera;5/6/2023;12;2879.99
smart TV;LG;Analia Franco;5/6/2023;13;2500.0
smart TV;Samsung;Analia Franco;5/6/2023;18;2879.99
smart TV;LG;Eldorado;5/6/2023;5;2500.0
smart TV;Samsung;Eldorado;5/6/2023;28;2879.99
notebook;Acer;Ibirapuera;5/6/2023;30;3440.78
notebook;Asus;Ibirapuera;5/6/2023;9;3250.87
notebook;Acer;Analia Franco;5/6/2023;9;3440.78
notebook;Asus;Analia Franco;5/6/2023;12;3250.87
notebook;Acer;Eldorado;5/6/2023;20;3440.78
notebook;Asus;Eldorado;5/6/2023;3;3250.87
geladeira;Brastemp;Ibirapuera;5/6/2023;29;4500
geladeira;Electrolux;Ibirapuera;5/6/2023;18;5000
geladeira;Brastemp;Analia Franco;5/6/2023;4;4500
geladeira;Electrolux;Analia Franco;5/6/2023;17;5000
geladeira;Brastemp;Eldorado;5/6/2023;28;4500
geladeira;Electrolux;Eldorado;5/6/2023;17;5000
lavadora;LG;Ibirapuera;5/6/2023;4;3800
lavadora;Brastemp;Ibirapuera;5/6/2023;20;2306
lavadora;LG;Analia Franco;5/6/2023;6;3800
lavadora;Brastemp;Analia Franco;5/6/2023;29;2306
lavadora;LG;Eldorado;5/6/2023;29;3800
lavadora;Brastemp;Eldorado;5/6/2023;8;2306
console;Sony;Ibirapuera;5/6/2023;11;3500
console;Nintendo;Ibirapuera;5/6/2023;23;2000
console;Sony;Analia Franco;5/6/2023;8;3500
console;Nintendo;Analia Franco;5/6/2023;13;2000
console;Sony;Eldorado;5/6/2023;14;3500
console;Nintendo;Eldorado;5/6/2023;3;2000
smartphone;Samsung;Ibirapuera;30/4/2023;27;1879.99
smartphone;Xiaomi;Ibirapuera;30/4/2023;13;1650.48
smartphone;Samsung;Analia Franco;30/4/2023;21;1879.99
smartphone;Xiaomi;Analia Franco;30/4/2023;24;1650.48
smartphone;Samsung;Eldorado;30/4/2023;25;1879.99
smartphone;Xiaomi;Eldorado;30/4/2023;12;1650.48
smart TV;LG;Ibirapuera;30/4/2023;11;2500.0
smart TV;Samsung;Ibirapuera;30/4/2023;6;2879.99
smart TV;LG;Analia Franco;30/4/2023;24;2500.0
smart TV;Samsung;Analia Franco;30/4/2023;12;2879.99
smart TV;LG;Eldorado;30/4/2023;10;2500.0
smart TV;Samsung;Eldorado;30/4/2023;28;2879.99
notebook;Acer;Ibirapuera;30/4/2023;13;3440.78
notebook;Asus;Ibirapuera;30/4/2023;27;3250.87
notebook;Acer;Analia Franco;30/4/2023;18;3440.78
notebook;Asus;Analia Franco;30/4/2023;29;3250.87
notebook;Acer;Eldorado;30/4/2023;4;3440.78
notebook;Asus;Eldorado;30/4/2023;14;3250.87
geladeira;Brastemp;Ibirapuera;30/4/2023;5;4500
geladeira;Electrolux;Ibirapuera;30/4/2023;30;5000
geladeira;Brastemp;Analia Franco;30/4/2023;13;4500
geladeira;Electrolux;Analia Franco;30/4/2023;28;5000
geladeira;Brastemp;Eldorado;30/4/2023;6;4500
geladeira;Electrolux;Eldorado;30/4/2023;6;5000
lavadora;LG;Ibirapuera;30/4/2023;26;3800
lavadora;Brastemp;Ibirapuera;30/4/2023;2;2306
lavadora;LG;Analia Franco;30/4/2023;8;3800
lavadora;Brastemp;Analia Franco;30/4/2023;9;2306
lavadora;LG;Eldorado;30/4/2023;25;3800
lavadora;Brastemp;Eldorado;30/4/2023;4;2306
console;Sony;Ibirapuera;30/4/2023;20;3500
console;Nintendo;Ibirapuera;30/4/2023;5;2000
console;Sony;Analia Franco;30/4/2023;6;3500
console;Nintendo;Analia Franco;30/4/2023;13;2000
console;Sony;Eldorado;30/4/2023;25;3500
console;Nintendo;Eldorado;30/4/2023;29;2000
smartphone;Samsung;Ibirapuera;21/5/2023;21;1879.99
smartphone;Xiaomi;Ibirapuera;21/5/2023;12;1650.48
smartphone;Samsung;Analia Franco;21/5/2023;22;1879.99
smartphone;Xiaomi;Analia Franco;21/5/2023;5;1650.48
smartphone;Samsung;Eldorado;21/5/2023;30;1879.99
smartphone;Xiaomi;Eldorado;21/5/2023;19;1650.48
smart TV;LG;Ibirapuera;21/5/2023;24;2500.0
smart TV;Samsung;Ibirapuera;21/5/2023;29;2879.99
smart TV;LG;Analia Franco;21/5/2023;2;2500.0
smart TV;Samsung;Analia Franco;21/5/2023;22;2879.99
smart TV;LG;Eldorado;21/5/2023;28;2500.0
smart TV;Samsung;Eldorado;21/5/2023;27;2879.99
notebook;Acer;Ibirapuera;21/5/2023;16;3440.78
notebook;Asus;Ibirapuera;21/5/2023;24;3250.87
notebook;Acer;Analia Franco;21/5/2023;18;3440.78
notebook;Asus;Analia Franco;21/5/2023;25;3250.87
notebook;Acer;Eldorado;21/5/2023;11;3440.78
notebook;Asus;Eldorado;21/5/2023;12;3250.87
geladeira;Brastemp;Ibirapuera;21/5/2023;26;4500
geladeira;Electrolux;Ibirapuera;21/5/2023;8;5000
geladeira;Brastemp;Analia Franco;21/5/2023;27;4500
geladeira;Electrolux;Analia Franco;21/5/2023;10;5000
geladeira;Brastemp;Eldorado;21/5/2023;26;4500
geladeira;Electrolux;Eldorado;21/5/2023;12;5000
lavadora;LG;Ibirapuera;21/5/2023;5;3800
lavadora;Brastemp;Ibirapuera;21/5/2023;11;2306
lavadora;LG;Analia Franco;21/5/2023;20;3800
lavadora;Brastemp;Analia Franco;21/5/2023;9;2306
lavadora;LG;Eldorado;21/5/2023;19;3800
lavadora;Brastemp;Eldorado;21/5/2023;24;2306
console;Sony;Ibirapuera;21/5/2023;21;3500
console;Nintendo;Ibirapuera;21/5/2023;16;2000
console;Sony;Analia Franco;21/5/2023;29;3500
console;Nintendo;Analia Franco;21/5/2023;8;2000
console;Sony;Eldorado;21/5/2023;23;3500
console;Nintendo;Eldorado;21/5/2023;1;2000
smartphone;Samsung;Ibirapuera;21/4/2023;20;1879.99
smartphone;Xiaomi;Ibirapuera;21/4/2023;3;1650.48
smartphone;Samsung;Analia Franco;21/4/2023;28;1879.99
smartphone;Xiaomi;Analia Franco;21/4/2023;19;1650.48
smartphone;Samsung;Eldorado;21/4/2023;4;1879.99
smartphone;Xiaomi;Eldorado;21/4/2023;26;1650.48
smart TV;LG;Ibirapuera;21/4/2023;4;2500.0
smart TV;Samsung;Ibirapuera;21/4/2023;22;2879.99
